gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pagerank,pass_through,truncated_by_depth,turnover_kzt,betweenness,hubs,authorities,seed_payers,seed_payers_share,role_rule,priority_score_raw
100000000343175100,distributor,0.65,9,0.1662471348310349,"Отправляет 4 000 039 KZT на 31 получателей, 33 переводов; признаки распределения; seed: входящие суммы занижены методом сбора",0,True,8,31,178712.0,4000039.0,14,33,0.000713258197938405,22.382598818210305,False,4178751.0,0.0012036539686675221,1.134115621681399e-12,3.969807589470011e-17,1,0.125,distributor,0.1662471348310349
100000000456947100,peripheral,0.2,72,0.0,0 входящих и 0 исходящих рёбер; недостаточно данных для гипотезы о роли; seed: входящие суммы занижены методом сбора,0,True,0,0,0.0,0.0,0,0,0.0002855692942172909,,False,0.0,0.0,0.0,0.0,0,0.0,no_edges,0.0
100000000580561100,peripheral,0.4,44,0.06717151591995317,"Вход/выход: 2/3 связей, 27 980/1 488 077 KZT; признаков специальной роли недостаточно; seed: входящие суммы занижены методом сбора",0,True,2,3,27980.0,1488077.0,3,13,0.0008349888856684654,53.183595425303785,False,1516057.0,2.6714158504007127e-06,6.29844639979852e-35,1.4864466027437242e-106,0,0.0,other,0.06717151591995317
100000001415126100,peripheral,0.4,19,0.018245321138943713,"Вход/выход: 1/0 связей, 27 000/0 KZT; признаков специальной роли недостаточно; seed: входящие суммы занижены методом сбора",0,True,1,0,27000.0,0.0,1,0,0.0004096189054308049,0.0,False,27000.0,0.0,0.0,4.789795454505007e-23,0,0.0,other,0.018245321138943713
100000001429930100,peripheral,0.4,13,0.01463159521181556,"Вход/выход: 1/0 связей, 26 000/0 KZT; признаков специальной роли недостаточно; seed: входящие суммы занижены методом сбора",0,True,1,0,26000.0,0.0,1,0,0.00035079789147407785,0.0,False,26000.0,0.0,0.0,3.533709147760262e-24,0,0.0,other,0.01463159521181556
100000001616816100,transit,0.8708788558131616,8,0.1874347554389915,"Вход 176 195, выход 181 326 KZT; передаёт 102.9%; 5/3 связей; признаки транзита; seed: входящие суммы занижены методом сбора",0,True,5,3,176195.0,181326.0,12,10,0.002434657190684458,1.0291211441868384,False,357521.0,8.281389136242209e-05,1.3281817506773979e-17,1.516883301294588e-18,0,0.0,transit,0.1874347554389915
100000001732159100,peripheral,0.4,38,0.20298859818081785,"Вход/выход: 2/4 связей, 2 378 100/1 505 966 KZT; признаков специальной роли недостаточно; seed: входящие суммы занижены методом сбора",0,True,2,4,2378100.0,1505966.0,30,23,0.0010950567872996843,0.633264370716118,False,3884066.0,1.9590382902938557e-05,1.0067471733023246e-17,1.170088619519216e-19,2,1.0,other,0.20298859818081785
100000002527114100,distributor,0.95,1,0.09196436252187858,"Отправляет 3 289 249 KZT на 111 получателей, 113 переводов; признаки распределения; seed: входящие суммы занижены методом сбора",0,True,3,111,129000.0,3289249.0,4,113,0.0008111056953132628,25.49805426356589,False,3418249.0,0.0,3.136407288603028e-38,1.2110902330754188e-35,0,0.0,distributor,0.09196436252187858
100000002916006100,peripheral,0.4,19,0.0002668222017751181,"Вход/выход: 0/1 связей, 0/32 000 KZT; признаков специальной роли недостаточно; seed: входящие суммы занижены методом сбора",0,True,0,1,0.0,32000.0,0,1,0.0002855692942172909,,False,32000.0,0.0,5.753882528125041e-81,0.0,0,0.0,other,0.0002668222017751181
100000003016635100,distributor,0.8500000000000001,3,0.29553441722149737,"Отправляет 9 414 081 KZT на 73 получателей, 151 переводов; признаки распределения; seed: входящие суммы занижены методом сбора",0,True,8,73,586981.0,9414081.0,36,151,0.0011896363343877673,16.038135817002594,False,10001062.0,0.009442750148560702,1.0285207562135207e-13,2.1016320089922908e-19,0,0.0,distributor,0.29553441722149737
100000003200071100,peripheral,0.4,68,0.0002501458141641732,"Вход/выход: 0/1 связей, 0/30 000 KZT; признаков специальной роли недостаточно; seed: входящие суммы занижены методом сбора",0,True,0,1,0.0,30000.0,0,1,0.0002855692942172909,,False,30000.0,0.0,8.288897912611629e-103,0.0,0,0.0,other,0.0002501458141641732
100000003265658100,peripheral,0.2,73,0.0,0 входящих и 0 исходящих рёбер; недостаточно данных для гипотезы о роли; seed: входящие суммы занижены методом сбора,0,True,0,0,0.0,0.0,0,0,0.0002855692942172909,,False,0.0,0.0,0.0,0.0,0,0.0,no_edges,0.0
100000003349739100,peripheral,0.2,74,0.0,0 входящих и 0 исходящих рёбер; недостаточно данных для гипотезы о роли; seed: входящие суммы занижены методом сбора,0,True,0,0,0.0,0.0,0,0,0.0002855692942172909,,False,0.0,0.0,0.0,0.0,0,0.0,no_edges,0.0
100000003684369100,distributor,0.8,2,0.48338760117867485,"Отправляет 8 588 655 KZT на 62 получателей, 67 переводов; признаки распределения; seed: входящие суммы занижены методом сбора",0,True,24,62,3848436.0,8588655.0,58,67,0.0020202912084868667,2.2317260830113845,False,12437091.0,0.002468833481745325,1.8771258383563897e-12,2.5494394969488943e-13,1,0.041666666666666664,distributor,0.48338760117867485
100000003770083100,peripheral,0.2,75,0.0,0 входящих и 0 исходящих рёбер; недостаточно данных для гипотезы о роли; seed: входящие суммы занижены методом сбора,0,True,0,0,0.0,0.0,0,0,0.0002855692942172909,,False,0.0,0.0,0.0,0.0,0,0.0,no_edges,0.0
100000003975102100,peripheral,0.4,3,0.015268609667716945,"Вход/выход: 1/2 связей, 25 650/88 500 KZT; признаков специальной роли недостаточно; seed: входящие суммы занижены методом сбора",0,True,1,2,25650.0,88500.0,1,2,0.0003454652180169808,3.4502923976608186,False,114150.0,2.9444463280969774e-05,3.8687989883486677e-20,2.5184741312281346e-70,0,0.0,other,0.015268609667716945
100000003977183100,peripheral,0.4,8,0.08106551625285768,"Вход/выход: 2/4 связей, 123 800/766 000 KZT; признаков специальной роли недостаточно; seed: входящие суммы занижены методом сбора",0,True,2,4,123800.0,766000.0,2,6,0.000331460381699444,6.187399030694669,False,889800.0,0.0,2.211321622605043e-17,2.2100195427649817e-17,1,0.5,other,0.08106551625285768
100000004007116100,peripheral,0.4,24,0.05983565208623354,"Вход/выход: 3/4 связей, 764 704/148 000 KZT; признаков специальной роли недостаточно; seed: входящие суммы занижены методом сбора",0,True,3,4,764704.0,148000.0,24,6,0.000627776957324843,0.19353893794200108,False,912704.0,0.0,1.7779984616902892e-41,3.031564354200642e-39,0,0.0,other,0.05983565208623354
100000004019124100,terminal,0.7,3,0.15575104546680463,"Вход 193 000 KZT от 3 плательщиков, выход 0; глубина 0; признаки конечного получателя; seed: входящие суммы занижены методом сбора",0,True,3,0,193000.0,0.0,3,0,0.0012028680902033705,0.0,False,193000.0,0.0,0.0,8.139196326151501e-22,2,0.6666666666666666,terminal,0.15575104546680463
100000004021459100,peripheral,0.2,76,0.0,0 входящих и 0 исходящих рёбер; недостаточно данных для гипотезы о роли; seed: входящие суммы занижены методом сбора,0,True,0,0,0.0,0.0,0,0,0.0002855692942172909,,False,0.0,0.0,0.0,0.0,0,0.0,no_edges,0.0
100000004041163100,peripheral,0.4,19,0.22852057608129253,"Вход/выход: 1/2 связей, 50 000/866 000 KZT; признаков специальной роли недостаточно; seed: входящие суммы занижены методом сбора",0,True,1,2,50000.0,866000.0,1,6,0.0020847480556725217,17.32,False,916000.0,2.4042742653606412e-05,2.087414379077834e-19,3.162559885757737e-91,1,1.0,other,0.22852057608129253
100000004174835100,peripheral,0.2,77,0.0,0 входящих и 0 исходящих рёбер; недостаточно данных для гипотезы о роли; seed: входящие суммы занижены методом сбора,0,True,0,0,0.0,0.0,0,0,0.0002855692942172909,,False,0.0,0.0,0.0,0.0,0,0.0,no_edges,0.0
100000004193835100,peripheral,0.4,3,0.022171311478877208,"Вход/выход: 1/1 связей, 47 000/5 000 KZT; признаков специальной роли недостаточно; seed: входящие суммы занижены методом сбора",0,True,1,1,47000.0,5000.0,1,1,0.0004699301396955852,0.10638297872340426,False,52000.0,2.6767693891790706e-06,6.043470421097619e-21,7.557362275613327e-26,0,0.0,other,0.022171311478877208
100000004269433100,peripheral,0.4,59,0.011440001901108188,"Вход/выход: 0/1 связей, 0/1 372 000 KZT; признаков специальной роли недостаточно; seed: входящие суммы занижены методом сбора",0,True,0,1,0.0,1372000.0,0,67,0.0002855692942172909,,False,1372000.0,0.0,9.305559352531907e-30,0.0,0,0.0,other,0.011440001901108188
100000004358004100,distributor,0.55,2,0.008178517394097643,"Отправляет 980 850 KZT на 11 получателей, 17 переводов; признаки распределения; seed: входящие суммы занижены методом сбора",0,True,0,11,0.0,980850.0,0,17,0.0002855692942172909,,False,980850.0,0.0,2.4083259482313278e-14,0.0,0,0.0,distributor,0.008178517394097643
100000004388983100,peripheral,0.4,65,0.003758991178607864,"Вход/выход: 0/2 связей, 0/450 816 KZT; признаков специальной роли недостаточно; seed: входящие суммы занижены методом сбора",0,True,0,2,0.0,450816.0,0,23,0.0002855692942172909,,False,450816.0,0.0,1.9323198369035943e-57,0.0,0,0.0,other,0.003758991178607864
100000004714705100,peripheral,0.4,19,0.0003047609835900177,"Вход/выход: 0/1 связей, 0/36 550 KZT; признаков специальной роли недостаточно; seed: входящие суммы занижены методом сбора",0,True,0,1,0.0,36550.0,0,1,0.0002855692942172909,,False,36550.0,0.0,4.922733895674401e-99,0.0,0,0.0,other,0.0003047609835900177
100000004723755100,peripheral,0.4,2,0.0007921284115198819,"Вход/выход: 0/1 связей, 0/95 000 KZT; признаков специальной роли недостаточно; seed: входящие суммы занижены методом сбора",0,True,0,1,0.0,95000.0,0,5,0.0002855692942172909,,False,95000.0,0.0,3.8554792060841825e-75,0.0,0,0.0,other,0.0007921284115198819
100000004813068100,peripheral,0.4,23,0.002476443560225315,"Вход/выход: 0/3 связей, 0/297 000 KZT; признаков специальной роли недостаточно; seed: входящие суммы занижены методом сбора",0,True,0,3,0.0,297000.0,0,5,0.0002855692942172909,,False,297000.0,0.0,3.161955603368448e-62,0.0,0,0.0,other,0.002476443560225315
100000004971871100,peripheral,0.4,57,0.03871521919063727,"Вход/выход: 1/1 связей, 25 400/5 650 KZT; признаков специальной роли недостаточно; seed: входящие суммы занижены методом сбора",0,True,1,1,25400.0,5650.0,3,1,0.0007430293125206683,0.22244094488188976,False,31050.0,0.0,1.0358414537175203e-134,3.6598846238082656e-100,0,0.0,other,0.03871521919063727
100000005017150100,peripheral,0.2,78,0.0,0 входящих и 0 исходящих рёбер; недостаточно данных для гипотезы о роли; seed: входящие суммы занижены методом сбора,0,True,0,0,0.0,0.0,0,0,0.0002855692942172909,,False,0.0,0.0,0.0,0.0,0,0.0,no_edges,0.0
100000005087431100,peripheral,0.2,79,0.0,0 входящих и 0 исходящих рёбер; недостаточно данных для гипотезы о роли; seed: входящие суммы занижены методом сбора,0,True,0,0,0.0,0.0,0,0,0.0002855692942172909,,False,0.0,0.0,0.0,0.0,0,0.0,no_edges,0.0
100000005235389100,peripheral,0.2,80,0.0,0 входящих и 0 исходящих рёбер; недостаточно данных для гипотезы о роли; seed: входящие суммы занижены методом сбора,0,True,0,0,0.0,0.0,0,0,0.0002855692942172909,,False,0.0,0.0,0.0,0.0,0,0.0,no_edges,0.0
